"Gene Symbol","MGI Gene Id","Colony Id","Sex","Zygosity","Phenotype","Comment"
"Dph6","MGI:1913882","MFZU","both","homozygote","Viable"
"Wdtc1","MGI:2685541","MFYJ","both","homozygote","Viable"
"Lgals7","MGI:1316742","MUAQ","both","homozygote","Viable"
"Fam209","MGI:1923676","FAMKB","both","homozygote","Viable"
"Setd6","MGI:1913333","JR21482","both","homozygote","Viable"
"Nxn","MGI:109331","JR24233","both","homozygote","Lethal"
"Agpat1","MGI:1932075","JR24154","both","homozygote","Subviable"
"Wfdc1","MGI:1915116","ET10112","both","homozygote","Viable"
"Sumf1","MGI:1889844","BL5172","both","homozygote","Lethal"
"Abhd8","MGI:1918946","ABHHB","both","homozygote","Viable"
"Ovol1","MGI:1330290","JR23663","both","homozygote","Subviable"
"Kcnc2","MGI:96668","BL3533","both","homozygote","Viable"
"4932438A13Rik","MGI:2444631","JR26878","both","homozygote","Lethal"
"Stk16","MGI:1313271","JR18611","both","homozygote","Viable"
"Moxd1","MGI:1921582","JR23420","both","homozygote","Viable"
"Nek9","MGI:2387995","MEXV","both","homozygote","Lethal"
"Lbp","MGI:1098776","H-LBP-A07-TM1B","both","homozygote","Viable"
"Tnfrsf17","MGI:1343050","TCPM0850Cre","both","homozygote","Viable"
"Acap1","MGI:2388270","JR25116","both","homozygote","Viable"
"Apeh","MGI:88041","APEKB","both","homozygote","Viable"
"Slc41a1","MGI:2444823","BL5631","both","homozygote","Viable"
"Gnai1","MGI:95771","GNACB","both","homozygote","Viable"
"Myo7b","MGI:107709","JR24673","both","homozygote","Viable"
"Mepce","MGI:106477","JR26290","both","homozygote","Lethal"
"Elk1","MGI:101833","JR25119","both","homozygote","Viable"
"Wnt5b","MGI:98959","TCPM0198Cre","both","homozygote","Viable"
"Zdhhc3","MGI:1926134","BL5549","both","homozygote","Viable"
"Tfeb","MGI:103270","TFEBB","both","homozygote","Lethal"
"Kdm4d","MGI:3606484","MDGG","both","homozygote","Viable"
"Fam212b","MGI:1923497","MFUL","both","homozygote","Viable"
"Mrps5","MGI:1924971","MUBK","both","homozygote","Lethal"
"Pigf","MGI:99462","MGLS","both","homozygote","Lethal"
"Gpr19","MGI:892973","JR26546","both","homozygote","Viable"
"Usf3","MGI:2685454","Gm608 EPD0431_5_F01","both","homozygote","Subviable"
"Dmgdh","MGI:1921379","MEUP","both","homozygote","Viable"
"Htra2","MGI:1928676","BL3753","both","homozygote","Viable"
"Crbn","MGI:1913277","BL2967","both","homozygote","Viable"
"Slc5a5","MGI:2149330","JR26503","both","homozygote","Viable"
